,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0
2622,2622,0.45409488246331153,0.5,0,346.0,669.0,0.0,1535.0,1,0.36583131815861436
2623,2623,-0.7117611786157243,-0.7,1,375.0,736.0,1.0,639.0,1,0.6957044022825497
2624,2624,0.2733339420292835,0.3,0,366.0,806.0,0.0,528.0,1,0.5854173001065647
2625,2625,-0.4444853590437232,-0.4,1,407.0,600.0,1.0,363.0,1,0.4696204074446546
2626,2626,-0.3975765104372635,-0.4,1,394.0,531.0,1.0,415.0,1,0.719102845879277
2627,2627,-0.9627624941650101,-1.0,1,458.0,741.0,1.0,661.0,1,0.33126415651234464
2628,2628,0.572041340314726,0.6,0,340.0,794.0,0.0,606.0,1,0.4067917914529864
2629,2629,-0.6008254785094174,-0.6,1,289.0,730.0,1.0,751.0,1,0.8235167271606301
2630,2630,0.16736825789437448,0.2,0,254.0,922.0,0.0,1884.0,1,0.4359328727498124
2631,2631,0.9157904223996203,0.9,0,413.0,905.0,0.0,322.0,1,0.9961194129195234
2632,2632,-0.6429007938568461,-0.6,1,371.0,681.0,1.0,348.0,1,0.6599692304140524
2633,2633,0.24483662205653656,0.2,0,465.0,660.0,0.0,1985.0,1,0.8199902210512576
2634,2634,-0.6611513101862623,-0.7,1,310.0,897.0,1.0,443.0,1,0.6649461227004083
2635,2635,-0.887582601233385,-0.9,1,254.0,717.0,1.0,469.0,1,0.8086069842580321
2636,2636,-0.16199105116503,-0.2,1,253.0,660.0,1.0,877.0,1,0.2995141149914732
2637,2637,0.762730001410366,0.8,0,291.0,683.0,0.0,376.0,1,0.5894785365989276
2638,2638,-0.571130226550207,-0.6,1,400.0,851.0,1.0,749.0,1,0.8471550728922975
2639,2639,0.8670903004073893,0.9,0,480.0,871.0,0.0,499.0,1,0.2293697244551499
2640,2640,0.13705516317528743,0.1,0,261.0,926.0,1.0,2003.0,0,0.18073819066898986
2641,2641,0.19626756664323608,0.2,0,296.0,579.0,0.0,1055.0,1,0.15731555179889156
2642,2642,-0.030872602682667116,-0.0,1,470.0,748.0,1.0,1522.0,1,0.9470578755473406
2643,2643,-0.036945897611952994,-0.0,1,491.0,612.0,1.0,3897.0,1,0.19773438818883865
2644,2644,0.0074156678379184715,0.0,0,391.0,805.0,1.0,1184.0,0,0.8548275005214621
2645,2645,0.08530513608419943,0.1,0,251.0,815.0,1.0,1404.0,0,0.4694114847546865
2646,2646,-0.3490424385236912,-0.3,1,335.0,863.0,1.0,1212.0,1,0.14746603389063212
2647,2647,0.10779646614160088,0.1,0,487.0,948.0,1.0,3565.0,0,0.3105900491313607
2648,2648,0.30619354107052654,0.3,0,323.0,914.0,0.0,2013.0,1,0.24342540076988264
2649,2649,0.7862141518926062,0.8,0,278.0,509.0,0.0,603.0,1,0.8888973306969264
2650,2650,-0.2678546697868054,-0.3,1,318.0,706.0,1.0,496.0,1,0.8659461965428673
2651,2651,0.9216692516464131,0.9,0,461.0,982.0,0.0,767.0,1,0.846983637227747
2652,2652,0.3187731764619417,0.3,0,410.0,522.0,0.0,2448.0,1,0.33812939015978394
2653,2653,0.3088841172773158,0.3,0,277.0,710.0,0.0,1853.0,1,0.16402914132982535
2654,2654,-0.03500248862287192,-0.0,1,392.0,506.0,0.0,4102.0,0,0.4415379143797843
2655,2655,-0.35188116028570726,-0.4,1,453.0,561.0,1.0,1116.0,1,0.2629657844698455
2656,2656,-0.33794702608131755,-0.3,1,301.0,670.0,1.0,589.0,1,0.8947844106305163
2657,2657,-0.8700951440396545,-0.9,1,365.0,687.0,1.0,178.0,1,0.7827924413699775
2658,2658,0.6263224378855519,0.6,0,363.0,527.0,0.0,1020.0,1,0.6327283749842202
2659,2659,0.8209696291451267,0.8,0,451.0,564.0,0.0,835.0,1,0.33879748769116114
2660,2660,-0.6286842908975647,-0.6,1,331.0,891.0,1.0,1128.0,1,0.2787708211714867
2661,2661,-0.888707999796835,-0.9,1,486.0,555.0,1.0,299.0,1,0.9424392962766882
2662,2662,0.09395911883541719,0.1,0,279.0,553.0,1.0,1138.0,0,0.9492725742331002
2663,2663,-0.9086478384346937,-0.9,1,263.0,675.0,1.0,602.0,1,0.8349408834084567
2664,2664,-0.6918916710696843,-0.7,1,448.0,594.0,1.0,538.0,1,0.39260649803438563
2665,2665,0.04659611295311361,0.0,0,489.0,500.0,1.0,4011.0,0,0.19577792951758977
2666,2666,0.8860825332478128,0.9,0,400.0,906.0,0.0,394.0,1,0.7744539626321042
2667,2667,0.7339894697078861,0.7,0,258.0,985.0,0.0,887.0,1,0.591761295554052
2668,2668,-0.28471619916564683,-0.3,1,423.0,759.0,1.0,948.0,1,0.8253768055911818
2669,2669,-0.0758030647062955,-0.1,1,383.0,875.0,1.0,3742.0,1,0.18978731879843785
2670,2670,-0.9445686663596293,-0.9,1,478.0,544.0,1.0,178.0,1,0.8364272732811542
2671,2671,-0.0054243886148030995,-0.0,1,388.0,701.0,1.0,3911.0,1,0.42107249955444503
2672,2672,0.7890362281727716,0.8,0,425.0,679.0,0.0,826.0,1,0.3271128746239196
2673,2673,-0.931834840147127,-0.9,1,443.0,721.0,1.0,1136.0,1,0.11832023429135374
2674,2674,-0.6539800614121039,-0.7,1,462.0,504.0,1.0,324.0,1,0.752831850875963
2675,2675,0.9387862506743971,0.9,0,417.0,672.0,0.0,511.0,1,0.8283269670287373
2676,2676,0.9656943087779588,1.0,0,345.0,783.0,0.0,822.0,1,0.3160250725926208
2677,2677,0.26020109448295314,0.3,0,400.0,852.0,0.0,828.0,1,0.7410541238479643
2678,2678,0.4424456935027461,0.4,0,430.0,730.0,0.0,1830.0,1,0.4865298800825898
2679,2679,0.7988289843400245,0.8,0,285.0,619.0,0.0,636.0,1,0.5761371189386423
2680,2680,0.03928007631181374,0.0,0,266.0,577.0,1.0,747.0,0,0.17962656133825966
2681,2681,-0.18472686704541696,-0.2,1,448.0,958.0,1.0,3594.0,1,0.2926652078444137
2682,2682,0.0837793419884938,0.1,0,307.0,895.0,0.0,3798.0,1,0.4949831641040052
2683,2683,-0.17250390223955603,-0.2,1,393.0,968.0,1.0,669.0,1,0.39352141156204556
2684,2684,0.3302475275015513,0.3,0,344.0,822.0,0.0,694.0,1,0.8165588188449862
2685,2685,0.780494934272512,0.8,0,314.0,910.0,0.0,476.0,1,0.3123384740435187
2686,2686,-0.5380679807180759,-0.5,1,468.0,943.0,1.0,239.0,1,0.568686587802777
2687,2687,-0.5607462681678765,-0.6,1,434.0,679.0,1.0,917.0,1,0.19591237704562117
2688,2688,0.9033733098264041,0.9,0,374.0,673.0,0.0,553.0,1,0.4929102918301168
2689,2689,0.20260203060616377,0.2,0,282.0,509.0,0.0,1409.0,1,0.3142285295346649
2690,2690,0.4422501172835225,0.4,0,290.0,641.0,0.0,789.0,1,0.7957120107124993
2691,2691,0.12434862977491057,0.1,0,316.0,958.0,0.0,606.0,1,0.9092932131540087
2692,2692,0.5103124116905811,0.5,0,347.0,858.0,0.0,835.0,1,0.9644991502909416
