,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,configuration,chosen_color
4129,4129,0.014410440104971944,0.0,-1.0,358.0,625.0,1.0,2457.0,0,-1.0,-1.0
4130,4130,-0.1210120248744887,-0.1,1.0,376.0,870.0,1.0,94.0,1,-1.0,-1.0
4131,4131,-0.5798010121964181,-0.6,1.0,311.0,917.0,1.0,262.0,1,-1.0,-1.0
4132,4132,0.02703891135301173,0.0,1.0,432.0,943.0,0.0,3625.0,0,1.0,0.0
4133,4133,0.8041797645051064,0.8,1.0,300.0,844.0,1.0,126.0,1,1.0,1.0
4134,4134,-0.177389485393753,-0.2,1.0,383.0,610.0,1.0,247.0,1,-1.0,-1.0
4135,4135,0.20576727461861133,0.2,1.0,423.0,850.0,1.0,1227.0,1,1.0,1.0
4136,4136,0.8737743683833138,0.9,1.0,410.0,651.0,1.0,169.0,1,1.0,1.0
4137,4137,-0.12146089994799569,-0.1,-1.0,459.0,843.0,0.0,3698.0,0,1.0,0.0
4138,4138,-0.6248390088577537,-0.6,1.0,462.0,668.0,1.0,60.0,1,-1.0,-1.0
4139,4139,-0.42870825247215,-0.4,1.0,300.0,634.0,1.0,-734.0,1,-1.0,-1.0
4140,4140,-0.6267483051493548,-0.6,1.0,410.0,545.0,1.0,155.0,1,-1.0,-1.0
4141,4141,-0.8877815373609329,-0.9,1.0,310.0,676.0,1.0,204.0,1,-1.0,-1.0
4142,4142,0.6578483660199627,0.7,1.0,394.0,676.0,1.0,140.0,1,1.0,1.0
4143,4143,-0.8056934234406404,-0.8,-1.0,269.0,939.0,0.0,3792.0,0,1.0,0.0
4144,4144,-0.3792968201843143,-0.4,1.0,480.0,721.0,1.0,-241.0,1,-1.0,-1.0
4145,4145,0.09700835736544022,0.1,1.0,282.0,907.0,1.0,3591.0,1,1.0,1.0
4146,4146,-0.8629409639064621,-0.9,-1.0,395.0,603.0,0.0,4002.0,0,1.0,0.0
4147,4147,0.7475879754169389,0.7,-1.0,458.0,767.0,0.0,3775.0,0,-1.0,0.0
4148,4148,0.07587218992233347,0.1,-1.0,352.0,900.0,1.0,-792.0,0,-1.0,-1.0
4149,4149,-0.6329004667835774,-0.6,-1.0,437.0,788.0,0.0,3775.0,0,1.0,0.0
4150,4150,0.8097182006104097,0.8,-1.0,495.0,912.0,0.0,3593.0,0,-1.0,0.0
4151,4151,0.6781684458398051,0.7,-1.0,347.0,538.0,0.0,4115.0,0,-1.0,0.0
4152,4152,0.15598485849993515,0.2,1.0,300.0,602.0,1.0,808.0,1,1.0,1.0
4153,4153,-0.5539965320751292,-0.6,-1.0,297.0,579.0,0.0,4124.0,0,1.0,0.0
4154,4154,0.699477612823142,0.7,-1.0,269.0,990.0,0.0,3741.0,0,-1.0,0.0
4155,4155,0.5910638559863707,0.6,-1.0,424.0,833.0,1.0,-737.0,0,-1.0,-1.0
4156,4156,-0.7193064601618433,-0.7,-1.0,302.0,847.0,0.0,3851.0,0,1.0,0.0
4157,4157,0.35224193307921425,0.4,1.0,292.0,501.0,1.0,557.0,1,1.0,1.0
4158,4158,0.1303846273206587,0.1,1.0,329.0,955.0,1.0,1016.0,1,1.0,1.0
4159,4159,-0.1622249958564017,-0.2,-1.0,369.0,619.0,0.0,4012.0,0,1.0,0.0
4160,4160,0.687742790795434,0.7,-1.0,463.0,778.0,0.0,3759.0,0,-1.0,0.0
4161,4161,-0.0960323629611749,-0.1,1.0,260.0,521.0,1.0,329.0,1,-1.0,-1.0
4162,4162,0.09966873114427977,0.1,-1.0,301.0,544.0,0.0,4155.0,0,-1.0,0.0
4163,4163,0.3394091624611596,0.3,1.0,414.0,758.0,1.0,298.0,1,1.0,1.0
4164,4164,0.1793070393737991,0.2,-1.0,334.0,726.0,1.0,-570.0,0,-1.0,-1.0
4165,4165,-0.2358735350250869,-0.2,1.0,330.0,834.0,1.0,196.0,1,-1.0,-1.0
4166,4166,-0.3822283239896246,-0.4,1.0,466.0,914.0,1.0,470.0,1,-1.0,-1.0
4167,4167,-0.2170602321550409,-0.2,1.0,452.0,980.0,1.0,-402.0,1,-1.0,-1.0
4168,4168,-0.052214695177932535,-0.1,1.0,309.0,932.0,1.0,1639.0,1,-1.0,-1.0
4169,4169,0.4611441404882436,0.5,-1.0,376.0,601.0,0.0,4023.0,0,-1.0,0.0
4170,4170,0.3529770611579469,0.4,1.0,360.0,618.0,1.0,282.0,1,1.0,1.0
4171,4171,-0.031794309166287005,-0.0,-1.0,333.0,925.0,0.0,3742.0,0,1.0,0.0
4172,4172,0.7877529012584253,0.8,1.0,404.0,625.0,1.0,161.0,1,1.0,1.0
4173,4173,0.4303883261509497,0.4,-1.0,424.0,737.0,0.0,3839.0,0,-1.0,0.0
4174,4174,-0.2562582850415813,-0.3,1.0,337.0,727.0,1.0,906.0,1,-1.0,-1.0
4175,4175,-0.4418857929545236,-0.4,1.0,445.0,779.0,1.0,-704.0,1,-1.0,-1.0
4176,4176,0.5233977787138638,0.5,1.0,332.0,990.0,1.0,128.0,1,1.0,1.0
4177,4177,-0.052075112335712936,-0.1,-1.0,373.0,717.0,0.0,3910.0,0,1.0,0.0
4178,4178,-0.5981645556413164,-0.6,1.0,445.0,628.0,1.0,207.0,1,-1.0,-1.0
4179,4179,0.33852817039984295,0.3,1.0,327.0,861.0,1.0,652.0,1,1.0,1.0
4180,4180,0.8309159670444185,0.8,-1.0,336.0,521.0,0.0,4143.0,0,-1.0,0.0
4181,4181,0.09645281980390052,0.1,1.0,258.0,890.0,0.0,3852.0,0,1.0,0.0
4182,4182,0.0785427161731328,0.1,-1.0,341.0,970.0,0.0,3689.0,0,-1.0,0.0
4183,4183,0.24899613472068516,0.2,-1.0,356.0,899.0,1.0,-775.0,0,-1.0,-1.0
4184,4184,0.297994441131351,0.3,1.0,305.0,945.0,1.0,1100.0,1,1.0,1.0
4185,4185,0.6251350662388458,0.6,-1.0,320.0,636.0,0.0,4044.0,0,-1.0,0.0
4186,4186,0.3832608992477974,0.4,-1.0,400.0,903.0,0.0,3697.0,0,-1.0,0.0
4187,4187,-0.6441105687561821,-0.6,-1.0,484.0,961.0,0.0,3555.0,0,1.0,0.0
4188,4188,0.8874118660951168,0.9,1.0,461.0,834.0,1.0,205.0,1,1.0,1.0
4189,4189,0.25189358728948485,0.3,1.0,400.0,638.0,1.0,522.0,1,1.0,1.0
4190,4190,0.7475271038955714,0.7,-1.0,346.0,653.0,0.0,4001.0,0,-1.0,0.0
4191,4191,-0.32755062373634136,-0.3,1.0,354.0,918.0,1.0,368.0,1,-1.0,-1.0
4192,4192,-0.07947685561505324,-0.1,-1.0,255.0,923.0,0.0,3822.0,0,1.0,0.0
4193,4193,0.037292087731277346,0.0,1.0,457.0,848.0,0.0,3695.0,0,1.0,0.0
4194,4194,0.6560875484811458,0.7,1.0,395.0,538.0,1.0,137.0,1,1.0,1.0
4195,4195,0.5765744541581158,0.6,-1.0,417.0,554.0,0.0,4029.0,0,-1.0,0.0
4196,4196,-0.4590823350341302,-0.5,1.0,291.0,761.0,1.0,-262.0,1,-1.0,-1.0
4197,4197,-0.0907695309495049,-0.1,-1.0,409.0,551.0,0.0,4040.0,0,1.0,0.0
4198,4198,0.5072728243022909,0.5,-1.0,405.0,796.0,1.0,-21.0,0,-1.0,-1.0
4199,4199,0.2691946379212041,0.3,-1.0,317.0,586.0,1.0,27.0,0,-1.0,-1.0
4200,4200,-0.8324468354829612,-0.8,1.0,461.0,894.0,1.0,145.0,1,-1.0,-1.0
4201,4201,-0.17438597953442048,-0.2,-1.0,402.0,732.0,0.0,3866.0,0,1.0,0.0
