,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,g0,gSlope
51,51,0.8082888805027719,0.8,0,286.0,913.0,0.0,261.0,1,0.7429015561890085,0.0008520443222453589
52,52,0.33700165645553315,0.3,0,456.0,643.0,0.0,501.0,1,0.7087838534423014,0.0025171670038894667
53,53,0.990134851979007,1.0,0,495.0,606.0,0.0,229.0,1,0.8394462551150697,0.0010169854926114525
54,54,0.5845870704454741,0.6,0,441.0,734.0,0.0,315.0,1,0.8777754353675196,0.002856227864557999
55,55,0.5957589651928981,0.6,0,314.0,753.0,0.0,313.0,1,0.8339594234140062,0.002325280914467859
56,56,0.6077183328013804,0.6,0,293.0,668.0,0.0,429.0,1,0.7923938255781814,0.000995421744394952
57,57,0.3914816803457455,0.4,0,363.0,857.0,0.0,350.0,1,0.8880363546595464,0.004507278403442885
58,58,-0.29559876750787883,-0.3,1,291.0,602.0,1.0,467.0,1,0.6859412971408554,4.123078447509143e-05
59,59,0.5308732711038799,0.5,0,426.0,634.0,0.0,610.0,1,0.11752031215746606,0.003979594248769098
60,60,-0.0623331917491301,-0.1,1,286.0,857.0,1.0,477.0,1,0.8990680291412142,0.0004903983776042098
61,61,0.9835461106121035,1.0,0,485.0,951.0,0.0,224.0,1,0.5676264448755469,0.0040573649133137605
62,62,-0.23197934853502766,-0.2,1,363.0,635.0,1.0,392.0,1,0.2195614199509338,0.0046038178755173935
63,63,0.8293021010557835,0.8,0,343.0,864.0,0.0,253.0,1,0.5486882657294271,0.0035060101706328563
64,64,0.47370412945858575,0.5,0,315.0,588.0,0.0,637.0,1,0.5410467378167078,0.001985320386742625
65,65,-0.8973208930434071,-0.9,1,344.0,684.0,1.0,382.0,1,0.05800168545788087,0.0034360692117484048
66,66,0.788477487527546,0.8,0,274.0,541.0,0.0,335.0,1,0.20497258730941526,0.001765104633608921
67,67,0.027891489809898973,0.0,0,468.0,556.0,0.0,436.0,1,0.5568246558201716,0.002266837576107989
68,68,0.2793553610133659,0.3,0,439.0,757.0,0.0,264.0,1,0.46495774084021624,0.0035809600526092336
69,69,-0.6297260871508943,-0.6,1,411.0,632.0,1.0,337.0,1,0.04983015666075896,0.0038291867910428827
70,70,0.9470255451094916,0.9,0,403.0,891.0,0.0,306.0,1,0.10649397083758438,0.004499462741139793
71,71,0.11017856358976674,0.1,0,288.0,921.0,1.0,801.0,0,0.8458219464659111,0.003163769133064737
72,72,-0.9024404263428538,-0.9,1,327.0,754.0,1.0,539.0,1,0.21950966832544916,0.0012205463850854209
73,73,0.3617202029567448,0.4,0,379.0,849.0,0.0,872.0,1,0.5192792988133266,0.000585371662663286
74,74,-0.8045246757490105,-0.8,1,252.0,586.0,1.0,392.0,1,0.4771950529557548,0.0012275244605568791
75,75,0.4526194391040892,0.5,0,469.0,585.0,0.0,616.0,1,0.9050518443240183,0.003936946433629509
76,76,-0.5228027727186284,-0.5,1,382.0,674.0,1.0,384.0,1,0.35039588836074576,0.002571886590479088
77,77,-0.08433441730058111,-0.1,1,270.0,636.0,1.0,704.0,1,0.4384792122933526,0.0017637781959490234
78,78,-0.5992090226164548,-0.6,1,389.0,902.0,1.0,279.0,1,0.7148319494825218,0.0017569882256218195
79,79,0.28447319688097217,0.3,0,400.0,543.0,1.0,307.0,0,0.9272194838236302,0.0017679362164524748
80,80,0.17095673997676752,0.2,0,358.0,592.0,1.0,390.0,0,0.9751241352750352,0.003113398471224105
81,81,0.12916443835281366,0.1,0,329.0,785.0,1.0,256.0,0,0.963680159354362,0.002040087499507041
82,82,-0.00580374968485553,-0.0,1,356.0,919.0,1.0,355.0,1,0.5321728744189115,0.002218614500725824
83,83,0.27144677999665134,0.3,0,460.0,572.0,0.0,178.0,1,0.4461978624101248,0.003331648144452266
84,84,0.19387035556304277,0.2,0,378.0,724.0,0.0,728.0,1,0.6892911786620872,0.0008734039413204331
85,85,0.9654609090238191,1.0,0,415.0,926.0,0.0,259.0,1,0.5890695893840108,0.0020928024260848
86,86,0.14353373668439162,0.1,0,417.0,730.0,0.0,363.0,1,0.8947874720747697,0.003966170879699723
87,87,0.8419346370161129,0.8,0,304.0,816.0,0.0,360.0,1,0.4384405109371422,0.0023710023097277483
