,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,init_y_left,init_y_right
117,117,0.9832787148902926,1.0,0,406.0,694.0,0.0,460.0,1,0.31259941086545356,0.31259941086545356
118,118,-0.1144989404343959,-0.1,1,340.0,744.0,0.0,476.0,0,0.25861837772200336,0.25861837772200336
119,119,0.5697489561909712,0.6,0,327.0,567.0,0.0,376.0,1,0.2926222912903916,0.2926222912903916
120,120,-0.3155022898770836,-0.3,1,496.0,929.0,1.0,165.0,1,0.4373273592380267,0.4373273592380267
121,121,0.304462259938759,0.3,0,454.0,776.0,1.0,1270.0,0,0.30395151971868123,0.30395151971868123
122,122,0.11807339664425487,0.1,0,469.0,568.0,0.0,1233.0,1,0.49138840334963674,0.49138840334963674
123,123,0.11445434430852797,0.1,0,445.0,808.0,1.0,167.0,0,0.2483355199905658,0.2483355199905658
124,124,-0.5318104814142579,-0.5,1,394.0,500.0,1.0,166.0,1,0.3736325217454552,0.3736325217454552
125,125,0.8321319001312717,0.8,0,379.0,584.0,0.0,227.0,1,0.05879011309368698,0.05879011309368698
126,126,0.7252039099251655,0.7,0,472.0,691.0,0.0,417.0,1,0.13986869783226052,0.13986869783226052
127,127,-0.942212716925589,-0.9,1,447.0,958.0,1.0,245.0,1,0.2372305297260947,0.2372305297260947
128,128,-0.3049325950156323,-0.3,1,306.0,530.0,0.0,144.0,0,0.3848901678317062,0.3848901678317062
129,129,-0.033996255723157454,-0.0,1,307.0,684.0,0.0,539.0,0,0.033434437290077224,0.033434437290077224
130,130,-0.3078210156445875,-0.3,1,441.0,588.0,1.0,391.0,1,0.43044568899997,0.43044568899997
131,131,0.7116042213540936,0.7,0,417.0,950.0,0.0,303.0,1,0.271553254718804,0.271553254718804
132,132,0.9038856223742573,0.9,0,478.0,527.0,1.0,155.0,0,0.04127440826844342,0.04127440826844342
133,133,-0.5634189577617026,-0.6,1,439.0,966.0,1.0,205.0,1,0.05501445032755564,0.05501445032755564
134,134,0.4253085121059337,0.4,0,491.0,847.0,1.0,152.0,0,0.040992710864979465,0.040992710864979465
