,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision
1786,1786,-0.9077252032754035,-0.9,1,452.0,625.0,1.0,283.0,1
1787,1787,0.49282681199129397,0.5,0,422.0,880.0,0.0,338.0,1
1788,1788,0.3016012589628527,0.3,0,283.0,580.0,0.0,367.0,1
1789,1789,-0.6892623842641108,-0.7,1,495.0,890.0,1.0,365.0,1
1790,1790,0.7637209400724836,0.8,0,481.0,905.0,0.0,234.0,1
1791,1791,0.29236227405610427,0.3,0,336.0,897.0,0.0,217.0,1
1792,1792,0.1646592481608442,0.2,0,397.0,587.0,1.0,306.0,0
1793,1793,-0.6121234328749934,-0.6,1,499.0,537.0,1.0,354.0,1
1794,1794,0.5077261390834633,0.5,0,365.0,632.0,0.0,403.0,1
1795,1795,0.7790290011172998,0.8,0,437.0,557.0,0.0,266.0,1
1796,1796,0.019824002018162812,0.0,0,450.0,832.0,1.0,298.0,0
1797,1797,-0.2614792752062305,-0.3,1,421.0,736.0,1.0,413.0,1
1798,1798,-0.5972348486508681,-0.6,1,451.0,791.0,1.0,348.0,1
1799,1799,-0.25893246349499166,-0.3,1,284.0,512.0,1.0,304.0,1
1800,1800,-0.3421563649335868,-0.3,1,303.0,651.0,1.0,796.0,1
1801,1801,0.9258914527517941,0.9,0,353.0,657.0,0.0,290.0,1
1802,1802,-0.8010904937998482,-0.8,1,359.0,847.0,1.0,314.0,1
1803,1803,0.4600909745068369,0.5,0,397.0,978.0,0.0,255.0,1
1804,1804,-0.4168568726463646,-0.4,1,437.0,812.0,1.0,501.0,1
1805,1805,0.3081421913568527,0.3,0,256.0,603.0,0.0,371.0,1
1806,1806,-0.7276706942711486,-0.7,1,342.0,627.0,1.0,291.0,1
1807,1807,0.11966180711467977,0.1,0,264.0,735.0,0.0,571.0,1
1808,1808,0.7287875093560472,0.7,0,393.0,716.0,0.0,351.0,1
1809,1809,0.07906000005353353,0.1,0,466.0,518.0,0.0,816.0,1
1810,1810,-0.4352514306313662,-0.4,1,308.0,848.0,1.0,444.0,1
1811,1811,-0.5157332048424828,-0.5,1,425.0,698.0,1.0,727.0,1
1812,1812,0.7561458228278299,0.8,0,479.0,709.0,0.0,162.0,1
1813,1813,-0.006915853345812684,-0.0,1,308.0,933.0,1.0,2429.0,1
1814,1814,0.5046323183957877,0.5,0,446.0,662.0,0.0,302.0,1
1815,1815,-0.0006069809757791589,-0.0,1,493.0,914.0,0.0,1793.0,0
1816,1816,0.2715000858429153,0.3,0,310.0,717.0,0.0,933.0,1
1817,1817,-0.6337719137632298,-0.6,1,322.0,993.0,1.0,275.0,1
1818,1818,-0.13844734181102503,-0.1,1,409.0,761.0,1.0,850.0,1
1819,1819,0.1829823693011554,0.2,0,327.0,632.0,0.0,671.0,1
1820,1820,-0.11047745128210229,-0.1,1,392.0,641.0,0.0,487.0,0
1821,1821,0.31815879432511873,0.3,0,353.0,999.0,0.0,838.0,1
1822,1822,0.8059740267742701,0.8,0,491.0,675.0,0.0,274.0,1
1823,1823,-0.380044467178859,-0.4,1,414.0,875.0,1.0,451.0,1
1824,1824,0.6801675483889107,0.7,0,386.0,832.0,0.0,542.0,1
1825,1825,0.3400270994746226,0.3,0,343.0,588.0,0.0,379.0,1
1826,1826,-0.4303302989987492,-0.4,1,371.0,794.0,1.0,295.0,1
1827,1827,-0.7766318366738587,-0.8,1,348.0,510.0,1.0,622.0,1
1828,1828,0.2996087854557592,0.3,0,304.0,913.0,0.0,433.0,1
1829,1829,-0.28375390306406856,-0.3,1,285.0,565.0,1.0,320.0,1
1830,1830,0.5691536819551064,0.6,0,356.0,638.0,0.0,376.0,1
1831,1831,0.571500940100585,0.6,0,387.0,715.0,0.0,388.0,1
