,trial,coherence,coherence_bin,correct_side,target_onset,checker_onset,decision,decision_time,correct_decision,delay
274,274,-0.9111914068675953,-0.9,1,488.0,960.0,1.0,342.0,1,286.6787110301393
275,275,-0.7937900277677987,-0.8,1,499.0,604.0,1.0,187.0,1,269.0685041651698
276,276,-0.872530278956559,-0.9,1,480.0,857.0,1.0,333.0,1,280.8795418434838
277,277,0.03638317339589414,0.0,0,286.0,592.0,0.0,392.0,1,144.54252399061588
278,278,-0.7186072993491983,-0.7,1,349.0,673.0,1.0,98.0,1,257.79109490237977
279,279,0.5511859759798783,0.6,0,385.0,745.0,0.0,810.0,1,67.32210360301826
280,280,-0.8619559498697107,-0.9,1,378.0,534.0,1.0,268.0,1,279.2933924804566
281,281,0.9958633814492508,1.0,0,487.0,940.0,0.0,183.0,1,0.6204927826123807
282,282,-0.018975146837812318,-0.0,1,310.0,807.0,1.0,443.0,1,152.84627202567185
283,283,0.7810808896674557,0.8,0,370.0,803.0,0.0,237.0,1,32.837866549881646
284,284,-0.0450327240484063,-0.0,1,385.0,979.0,1.0,436.0,1,156.75490860726094
285,285,-0.3033751416240493,-0.3,1,464.0,597.0,1.0,289.0,1,195.5062712436074
286,286,-0.7305329633737196,-0.7,1,375.0,793.0,1.0,452.0,1,259.5799445060579
287,287,0.7585147465633792,0.8,0,456.0,865.0,0.0,529.0,1,36.222788015493116
288,288,0.20637397492964538,0.2,0,257.0,988.0,1.0,225.0,0,119.04390376055319
289,289,0.4285466944384819,0.4,0,401.0,733.0,0.0,2776.0,1,85.71799583422771
290,290,0.4518596720581092,0.5,0,279.0,934.0,0.0,747.0,1,82.22104919128363
291,291,-0.34093621352667514,-0.3,1,483.0,991.0,1.0,296.0,1,201.14043202900126
292,292,0.0736337948834842,0.1,0,318.0,679.0,1.0,1063.0,0,138.95493076747738
293,293,-0.30820585467913597,-0.3,1,447.0,968.0,0.0,145.0,0,196.23087820187038
294,294,-0.7840378871694589,-0.8,1,311.0,939.0,1.0,420.0,1,267.6056830754188
295,295,0.4961029074609218,0.5,0,341.0,629.0,0.0,430.0,1,75.58456388086174
296,296,-0.323387038167849,-0.3,1,390.0,880.0,1.0,340.0,1,198.50805572517734
297,297,-0.46924971690756245,-0.5,1,273.0,574.0,1.0,793.0,1,220.38745753613438
298,298,0.29800024433350436,0.3,0,437.0,838.0,0.0,185.0,1,105.29996334997435
299,299,0.09159994774194846,0.1,0,260.0,501.0,0.0,599.0,1,136.26000783870774
